siteID,siteLabel,siteConnectionString,LanNo,theLabel,NodeAddress,theLabel,outPin,deviCeResponse,nodeIpAddr,TimeMasterStatus
2,ACF Bush Estate,IP172.16.4.22,40,INC,1,IQView,1236,0,#N/A#,3
2,ACF Bush Estate,IP172.16.4.22,40,INC,5,5,1236,No Reply,#N/A#,3
2,ACF Bush Estate,IP172.16.4.22,40,INC,6,6,1236,No Reply,#N/A#,3
2,ACF Bush Estate,IP172.16.4.22,40,INC,11,11,1236,No Reply,#N/A#,3
2,ACF Bush Estate,IP172.16.4.22,40,INC,12,12,1236,No Reply,#N/A#,3
2,ACF Bush Estate,IP172.16.4.22,40,INC,21,Plantroom A OS21,1236,IQ4E96 Iss4.33 Oct 12 2021,172.16.4.22,1
2,ACF Bush Estate,IP172.16.4.22,40,INC,22,Plantroom A OS22,1236,IQ4E128 Iss4.33 Oct 12 2021,172.16.4.3,1
2,ACF Bush Estate,IP172.16.4.22,40,INC,27,DiRAC,1236,IQ4E96 Iss4.33 Oct 12 2021,172.16.4.57,1
2,ACF Bush Estate,IP172.16.4.22,40,INC,28,No Reply,1236,No Reply,,0
2,ACF Bush Estate,IP172.16.4.22,40,INC,41,Plant A Heat Meter Supercal 531,1236,VirtualIQ v1.03 Feb 12,inv,0
2,ACF Bush Estate,IP172.16.4.22,40,INC,42,Plant B Heat Meter Supercal 531,1236,VirtualIQ v1.03 Feb 12,inv,0
2,ACF Bush Estate,IP172.16.4.22,40,INC,104,963 v3.73,1236,0,#N/A#,3
2,ACF Bush Estate,IP172.16.4.22,40,INC,119,119,1236,No Reply,#N/A#,3
2,ACF Bush Estate,IP172.16.4.22,40,INC,126,INC,1236,No Reply,#N/A#,3
2,ACF Bush Estate,IP172.16.4.22,50,INC,12,WCDI MSCP1-2,1236,?,#N/A#,3
2,ACF Bush Estate,IP172.16.4.22,50,INC,11,WCDI MSCP1-1,1236,?,#N/A#,3
2,ACF Bush Estate,IP172.16.4.22,41,INC,29,Comms Room,1236,IQ4E16 Iss4.20 Aug 21 2019,172.16.4.194,1
2,ACF Bush Estate,IP172.16.4.22,41,INC,109,109,1236,No Reply,#N/A#,3
2,ACF Bush Estate,IP172.16.4.22,49,vIQ Lan,13,Plant C HM Supercal 531,1236,VirtualIQ v1.03 Feb 12,inv,1
2,ACF Bush Estate,IP172.16.4.22,49,vIQ Lan,12,CC HM2 Supercal 531,1236,VirtualIQ v1.03 Feb 12,inv,1
2,ACF Bush Estate,IP172.16.4.22,47,vIQ Lan,126,vIQ Lan,1236,VirtualIQ v1.03 Feb 12,#N/A#,3
2,ACF Bush Estate,IP172.16.4.22,47,vIQ Lan,119,119,1236,No Reply,#N/A#,3
2,ACF Bush Estate,IP172.16.4.22,47,vIQ Lan,102,102,1236,No Reply,#N/A#,3
2,ACF Bush Estate,IP172.16.4.22,47,vIQ Lan,23,UPS Unit 3,1236,VirtualIQ v1.03 Feb 12,inv,1
2,ACF Bush Estate,IP172.16.4.22,47,vIQ Lan,22,UPS Unit 2,1236,VirtualIQ v1.03 Feb 12,inv,1
2,ACF Bush Estate,IP172.16.4.22,47,vIQ Lan,21,UPS Unit 1,1236,VirtualIQ v1.03 Feb 12,inv,1
2,ACF Bush Estate,IP172.16.4.22,46,vIQ Lan,126,vIQ Lan,1236,VirtualIQ v1.04 Mar 13,#N/A#,3
2,ACF Bush Estate,IP172.16.4.22,46,vIQ Lan,119,119,1236,No Reply,#N/A#,3
2,ACF Bush Estate,IP172.16.4.22,46,vIQ Lan,14,Archer Main 2 Interface,1236,VirtualIQ v1.04 Mar 13,inv,1
2,ACF Bush Estate,IP172.16.4.22,46,vIQ Lan,13,Archer BTB Interface,1236,VirtualIQ v1.04 Mar 13,inv,1
2,ACF Bush Estate,IP172.16.4.22,46,vIQ Lan,12,Archer Generator Interface,1236,VirtualIQ v1.04 Mar 13,inv,1
2,ACF Bush Estate,IP172.16.4.22,46,vIQ Lan,11,Archer Main 1 Interface,1236,VirtualIQ v1.04 Mar 13,172.16.4.85,1
2,ACF Bush Estate,IP172.16.4.22,46,vIQ Lan,6,6,1236,No Reply,#N/A#,3
2,ACF Bush Estate,IP172.16.4.22,44,EINC (Archer),32,CCU12,1236,IQ204 Iss3.12 Nov 28 2002,#N/A#,1
2,ACF Bush Estate,IP172.16.4.22,44,EINC (Archer),21,CCU01,1236,IQ204 Iss3.12 Nov 28 2002,#N/A#,1
2,ACF Bush Estate,IP172.16.4.22,44,EINC (Archer),4,4,1236,No Reply,#N/A#,3
2,ACF Bush Estate,IP172.16.4.22,43,INC,104,104,1236,No Reply,#N/A#,3
2,ACF Bush Estate,IP172.16.4.22,43,INC,103,103,1236,No Reply,#N/A#,3
2,ACF Bush Estate,IP172.16.4.22,43,INC,102,102,1236,No Reply,#N/A#,3
2,ACF Bush Estate,IP172.16.4.22,49,vIQ Lan,11,CHW HM1 Supercal 531,1236,VirtualIQ v1.03 Feb 12,inv,1
2,ACF Bush Estate,IP172.16.4.22,49,vIQ Lan,4,4,1236,No Reply,#N/A#,3
2,ACF Bush Estate,IP172.16.4.22,50,INC,13,WCDI MSCP2,1236,IQ4E16 Iss4.33 Oct 12 2021,172.16.5.39,1
2,ACF Bush Estate,IP172.16.4.22,50,INC,107,107,1236,No Reply,#N/A#,0
2,ACF Bush Estate,IP172.16.4.22,50,INC,126,INC,1236,No Reply,#N/A#,0
2,ACF Bush Estate,IP172.16.4.22,0,0,14,14,1236,?,#N/A#,0
2,ACF Bush Estate,IP172.16.4.22,0,0,13,13,1236,?,#N/A#,0
492,ACF WCDI,IP172.16.5.28,0,126,104,104,0,No Reply,#N/A#,0
492,ACF WCDI,IP172.16.5.28,0,126,105,IQView8,0,0,#N/A#,0
492,ACF WCDI,IP172.16.5.28,0,126,106,106,0,No Reply,#N/A#,0
492,ACF WCDI,IP172.16.5.28,0,126,126,126,0,No Reply,#N/A#,0
492,ACF WCDI,IP172.16.5.28,50,INC,0,0,0,?,#N/A#,3
492,ACF WCDI,IP172.16.5.28,0,126,11,WCDI MSCP1-1,0,IQ4E160 Iss4.33 Oct 12 2021,172.16.5.28,0
492,ACF WCDI,IP172.16.5.28,0,126,12,WCDI MSCP1-2,0,IQ4E128 Iss4.33 Oct 12 2021,172.16.5.29,0
492,ACF WCDI,IP172.16.5.28,0,126,95,95,0,No Reply,#N/A#,0
492,ACF WCDI,IP172.16.5.28,0,126,101,101,0,No Reply,#N/A#,0
492,ACF WCDI,IP172.16.5.28,0,126,102,102,0,No Reply,#N/A#,0
492,ACF WCDI,IP172.16.5.28,50,INC,1,1,0,No Reply,#N/A#,3
492,ACF WCDI,IP172.16.5.28,51,Lan 51,4,4,0,No Reply,#N/A#,3
492,ACF WCDI,IP172.16.5.28,50,INC,101,963 v3.73,0,0,#N/A#,3
492,ACF WCDI,IP172.16.5.28,50,INC,102,102,0,No Reply,#N/A#,3
492,ACF WCDI,IP172.16.5.28,50,INC,105,IQView8,0,0,#N/A#,3
492,ACF WCDI,IP172.16.5.28,50,INC,126,INC,0,No Reply,#N/A#,3
492,ACF WCDI,IP172.16.5.28,50,INC,11,WCDI MSCP1-1,0,IQ4E160 Iss4.33 Oct 12 2021,172.16.5.28,1
492,ACF WCDI,IP172.16.5.28,50,INC,12,WCDI MSCP1-2,0,IQ4E128 Iss4.33 Oct 12 2021,172.16.5.29,1
492,ACF WCDI,IP172.16.5.28,51,Lan 51,14,HCT-04-04,0,VirtualIQ v1.13 Jun 19,172.16.5.31,1
492,ACF WCDI,IP172.16.5.28,50,INC,104,104,0,No Reply,#N/A#,3
492,ACF WCDI,IP172.16.5.28,51,Lan 51,13,HCT-04-03,0,VirtualIQ v1.13 Jun 19,172.16.5.31,1
492,ACF WCDI,IP172.16.5.28,51,Lan 51,12,HCT-04-02,0,VirtualIQ v1.13 Jun 19,172.16.5.31,1
492,ACF WCDI,IP172.16.5.28,51,Lan 51,11,HCT-04-01,0,VirtualIQ v1.13 Jun 19,172.16.5.31,1
492,ACF WCDI,IP172.16.5.28,55,Lan 55,126,INC,0,No Reply,#N/A#,3
492,ACF WCDI,IP172.16.5.28,55,Lan 55,17,WCDI CRAC Unit No.7,0,IQ422-12 Iss4.20 Aug 21 2019,172.16.5.47,1
492,ACF WCDI,IP172.16.5.28,55,Lan 55,16,WCDI CRAC Unit No.6,0,IQ422-12 Iss4.20 Aug 21 2019,172.16.5.46,1
492,ACF WCDI,IP172.16.5.28,55,Lan 55,15,WCDI CRAC Unit No.5,0,IQ422-12 Iss3.41 Aug  3 2016,172.16.5.45,1
492,ACF WCDI,IP172.16.5.28,55,Lan 55,14,WCDI CRAC Unit No.4,0,IQ422-12 Iss4.20 Aug 21 2019,172.16.5.44,1
492,ACF WCDI,IP172.16.5.28,55,Lan 55,13,WCDI CRAC Unit No.3,0,IQ422-12 Iss4.20 Aug 21 2019,172.16.5.43,1
492,ACF WCDI,IP172.16.5.28,55,Lan 55,12,WCDI CRAC Unit No.2,0,IQ422-12 Iss3.41 Aug  3 2016,172.16.5.42,1
492,ACF WCDI,IP172.16.5.28,55,Lan 55,11,WCDI CRAC Unit No.1,0,IQ422-12 Iss4.20 Aug 21 2019,172.16.5.41,1
492,ACF WCDI,IP172.16.5.28,60,Lan 60,126,MSTP LAN 60,0,IQ4NCBINC Iss8.10 Mar 0,#N/A#,3
492,ACF WCDI,IP172.16.5.28,60,Lan 60,9,ChillerBacnet4NC,0,IQ4NC0 Iss4.20 Aug 21 2019,172.16.5.30,1
492,ACF WCDI,IP172.16.5.28,60,Lan 60,7,7,0,No Reply,#N/A#,3
492,ACF WCDI,IP172.16.5.28,60,Lan 60,6,6,0,No Reply,#N/A#,3
492,ACF WCDI,IP172.16.5.28,60,Lan 60,5,5,0,No Reply,#N/A#,3
492,ACF WCDI,IP172.16.5.28,60,Lan 60,4,4,0,No Reply,#N/A#,3
492,ACF WCDI,IP172.16.5.28,40,40,22,22,0,?,#N/A#,0
492,ACF WCDI,IP172.16.5.28,51,Lan 51,119,119,0,No Reply,#N/A#,3
492,ACF WCDI,IP172.16.5.28,51,Lan 51,126,INC,0,No Reply,#N/A#,3
